CRN,Subject CodeCourse Number,Monday Ind1Tuesday Ind1Wednesday Ind1Thursday Ind1Friday Ind1,Begin Time 1,End Time1,Term Code,Bldg Code1,Room Code1,Section Max Enrollment
10567,ENGL640,R,1800,2050,201710,ADM,318,10
10568,ENGL652,MWF,1000,1050,201710,ADM,112,12
11571,ENGL699,,0000,0001,201710,,,5
10870,FIN439,TR,1200,1320,201710,MBB,116,0
10191,GLST212,,0000,0001,201710,SAOXFO,,0
11384,HIST580,TR,0930,1050,201710,ADM,329,1
10773,KINE322,,0000,0001,201710,,,10
11132,BMFT610,T,0800,1050,201710,BSB,,25
10824,PEAC353,MW,1200,1320,201710,MRW,240,5
10337,MATH237,TR,1330,1450,201710,OSC,241,24
10338,MATH238,TR,1330,1450,201710,OSC,239,24
10050,MPIN211,,0000,0001,201710,WPA,223,5
10076,MPIN211,,0000,0001,201710,WPA,227,5
10002,MUSE118,MW,1400,1450,201710,WPA,157,15
10007,MUSE330,TR,0930,1050,201710,WPA,213,20
10005,MUSE334,MWF,0900,0950,201710,WPA,157,25
11568,MUSM432,,0000,0001,201710,,,1
11145,PHYS101,MWF,1000,1050,201710,BSB,100,200
11182,PHYS363,W,1400,1700,201710,OSC,358,18
11008,POLS225,MW,1200,1320,201710,BSB,114,35
11018,PSYC485,MW,1400,1520,201710,MCK,15,30
10971,PSYC613,M,0900,1150,201710,MCK,27,15
10738,READ480,MTWR,1500,1700,201710,EDB,122,10
10182,SOCI385,MWF,1300,1350,201710,SHB,216,20
11056,SOCW625,M,1300,1550,201710,ADM,102,25
11060,SOCW740,F,0900,1150,201710,ADM,102,15
11062,SOCW748,F,1300,1550,201710,ADM,101,25
10033,THEA101,MW,1500,1550,201710,WPA,193,22
10194,THEA227,MWF,1300,1350,201710,SWL,120,22
10627,THEA321,MWF,1400,1450,201710,WPA,258,14
10226,THEA454,TR,1500,1700,201710,WPA,169,14
11178,PHYS223,M,1400,1650,201710,LIB,231,20
10220,THEA411,,0000,0001,201710,WPA,135,6
11300,ENGL222,MWF,0800,0950,201710,ADM,331,24
10940,COMP659,W,0830,1120,201710,BSB,250,24
10941,COMP659,W,0830,1120,201710,BSB,250,8
11455,NURS340,F,0900,1050,201710,,,27
11322,NURS431,T,0900,1050,201710,,,50
10023,MPEI301,WF,1115,1250,201710,WPA,157,75
10029,MPEI305,TR,1630,1800,201710,WPA,157,15
11211,ENGR220,TR,0800,0920,201710,BEN,119,40
10842,MGMT331,MWF,0900,0950,201710,MBB,216,40
10900,MGMT332,TR,1330,1450,201710,MBB,216,40
11338,CMUS4M7,,,,201710,,,1
10683,COMM211,MWF,0800,0850,201710,SHB,215,20
10685,COMM211,MWF,1300,1350,201710,SHB,215,20
10271,JMC492,TR,1330,1450,201710,DMC,302,20
10183,SOCI415,TR,0800,0920,201710,ADM,103,25
10898,MGMT439,TR,1330,1450,201710,MBB,218,40
10631,OCCT601,TR,1600,1800,201710,B08,,26
10636,OCCT617,W,0900,1100,201710,ADM,317,26
10093,MPIM421,F,1400,1450,201710,WPA,130,5
10101,MPIM421,F,1400,1450,201710,WPA,246,5
10105,MPIM421,F,1400,1450,201710,WPA,223,2
10514,ENGL111,MWF,1400,1450,201710,ADM,120,25
11001,HON307,T,1700,1900,201710,ZEL,101,20
10992,HON407,,0900,1700,201710,,,15
10994,HON408,M,1800,2050,201710,LIB,272,15
10987,HON414,,0900,1700,201710,,,15
11433,GRAD695,,,,201710,,,5
11542,GRAD695,,0000,0001,201710,,,5
10351,MATW019,TR,0800,0920,201710,OSC,250,23
11133,BMFT601,M,1300,1550,201710,BSB,128,25
10633,CHEM111,M,1400,1650,201710,OSC,117,25
11311,MATW120,TR,0930,1050,201710,OSC,241,32
11309,MATW130,MW,1300,1350,201710,MBB,117,40
11415,MFTO610,MTWRF,,,201710,,,20
11414,MFTO634,MTWRF,,,201710,,,20
10966,PSYC493,TR,1330,1450,201710,MCK,15,24
10086,MPIM221,F,1400,1450,201710,WPA,219,5
10104,MPIM221,F,1400,1450,201710,WPA,223,5
10319,BIBM609,R,0830,1030,201710,,,5
10115,MPEV211,MWF,1400,1450,201710,WPA,145,25
10120,MPEV302,TR,1500,1650,201710,WPA,145,20
10740,SPED477,TR,0930,1050,201710,EDB,115,10
10741,SPED577,TR,0930,1050,201710,EDB,115,5
10383,BGRK441,,0000,0001,201710,BSB,,10
10906,MKTG320,TR,1330,1450,201710,MBB,201,75
10362,POLC499,,0000,0001,201710,,,10
10407,BIBM435,TR,0930,1050,201710,BSB,113,20
10172,MUPM431,M,1600,1800,201710,WPA,217,5
10880,CS330,TR,1200,1320,201710,MBB,215,38
10188,CORE210,,0000,0001,201710,SAOXFO,,0
10373,POLS360,TR,1500,1620,201710,ADM,219,45
10759,HED324,MWF,1000,1050,201710,GIB,135,30
11506,HIED613,MTWRF,,,201710,,,20
10582,FREN111,MWF,1400,1450,201710,ADM,322,20
11386,FAM251,TR,1330,1450,201710,BSB,120,45
11144,PEAC207,TR,1330,1450,201710,MRW,240,30
10814,PEAC216,,0000,0001,201710,SAMONT,,20
11010,SOCW230,TR,1330,1450,201710,ADM,100,40
10456,MGMT305,MWF,1000,1050,201710,MBB,318,36
11287,LEAD711,MTWRF,,,201710,,,20
11278,LEAD714,MTWRF,,,201710,,,20
11284,LEAD714,MTWRF,,,201710,,,20
11544,LEAD714,MTWRF,,,201710,,,15
10808,KINE473,MWF,1000,1050,201710,GIB,130,20
11285,LEAD701,MTWRF,,,201710,,,20
11286,LEAD701,MTWRF,,,201710,,,20
11465,COMM545,MTWRF,,,201710,,,20
11468,COMM545,MTWRF,,,201710,,,20
11399,COMM699,,0000,0001,201710,,,5
11215,CORE110,MWF,1000,1050,201710,BSB,219,30
11217,CORE110,MWF,1000,1050,201710,BSB,115,30
11222,CORE110,MWF,1000,1050,201710,ADM,330,30
11224,CORE110,MWF,1000,1050,201710,MBB,217,30
11239,CORE110,MWF,1300,1350,201710,WPA,B5,30
11251,CORE110,MWF,1300,1350,201710,BSB,120,25
11114,ANSC496,TR,0930,1050,201710,ADM,120,15
10609,ART423,TR,1200,1320,201710,DMC,141,50
10449,BIBL101,MWF,0900,0950,201710,BSB,120,60
10380,BIBL211,,0000,0001,201710,,,25
10420,BIBL211,MWF,1000,1050,201710,BSB,114,60
10425,BIBL211,MWF,0800,0850,201710,BSB,117,60
10393,BIBL453,MWF,1000,1050,201710,BSB,127,25
11404,BIBL699,,0000,0001,201710,,,5
10292,BIBM648,MTWRF,0800,1700,201710,BSB,249,25
11398,BIBM799,,0000,0001,201710,,,5
11026,BIOL112,MWF,0800,0850,201710,OSC,458,55
11053,BIOL294,F,1200,1415,201710,OSC,451,16
11083,BIOL357,TR,1200,1320,201710,OSC,475,16
11496,BUSA656,MTWRF,,,201710,,,20
10660,CHEM223,MWF,0800,0850,201710,OSC,157,40
10665,CHEM355,TR,0930,1050,201710,OSC,258,24
10943,COMP693,M,1230,1320,201710,SHB,210,24
11503,CONR601,MTWRF,,,201710,,,20
11565,CS140,,,,201710,,,0
10921,DET410,TR,0930,1050,201710,MBB,316,30
10469,ECON260,MWF,0900,0950,201710,MBB,215,52
10711,EDUC211,TR,0800,0920,201710,EDB,112,24
10717,EDUC250,M,1800,2050,201710,EDB,112,20
11533,EDUC686,MTWRF,,,201710,,,15
10481,ENGL006,MWF,1000,1050,201710,ADM,322,18
10492,ENGL107,MWF,1000,1050,201710,MBB,116,18
10494,ENGL107,MWF,1300,1350,201710,SHB,208,18
10521,ENGL112,MWF,0800,0850,201710,MBB,316,25
10525,ENGL112,MWF,1300,1350,201710,ADM,219,25
10826,KINE420,,0000,0001,201710,,,10
10459,FIN416,MWF,0900,0950,201710,MBB,218,40
11552,FLEN037,MTWRF,0900,0950,201710,DMC,201,20
11557,FLEN049,MTWRF,0900,0950,201710,ADM,319,20
11295,GER340,TR,0930,1050,201710,OSC,239,20
11212,GERO352,T,1500,1750,201710,ADM,103,20
10758,HED112,MWF,0900,0950,201710,GIB,135,30
11474,HIED695,MTWRF,,,201710,,,6
10269,JMC390,MW,1500,1620,201710,DMC,302,15
10763,KINE232,MWF,1000,1050,201710,GIB,136,20
10768,KINE301,MWF,1300,1350,201710,GIB,132,30
10780,KINE373,T,1500,1700,201710,GIB,131,12
10882,MACC611,R,1500,1750,201710,MBB,215,50
11296,PHIL380,TR,0800,0920,201710,BSB,,50
10849,MGMT330,TR,1330,1450,201710,MBB,215,52
10026,MPEI210,WF,1115,1250,201710,,,90
10048,MPEI407,,0000,0001,201710,WPA,157,5
10146,MPVM231,W,1500,1550,201710,WPA,220,5
10170,MUPM231,F,1500,1700,201710,WPA,217,5
10797,PEAC100,MW,1400,1520,201710,MRW,260A,45
10798,PEAC100,TR,1200,1320,201710,MRW,260A,45
11202,PHYS388,MWF,1000,1050,201710,BEN,219,10
10888,PSYC120,TR,0930,1050,201710,BSB,100,290
11267,PSYC340,R,1800,2050,201710,MCK,15,30
10963,PSYC451,TR,0800,0920,201710,MCK,,20
11122,PSYC660,R,1230,1530,201710,MCK,42,16
11123,PSYC664,W,1300,1550,201710,MCK,135,15
10730,READ322,M,1800,2050,201710,EDB,110,15
11055,SOCW615,M,0900,1150,201710,ADM,102,25
11071,SOCW799,,0000,0001,201710,,,12
11073,SOCW799,,0000,0001,201710,,,4
10579,SPAN342,TR,1330,1450,201710,ADM,331,20
10580,SPAN440,TR,0800,0920,201710,ADM,331,20
10195,THEA137,MW,1300,1450,201710,SWL,120,10
11264,PHYS240,T,1500,1800,201710,OSC,327,23
10222,THEA422,TR,0930,1050,201710,MRW,240,14
10923,ITC460,TR,1330,1450,201710,MBB,318,40
10189,ENGL222,,0000,0001,201710,SAOXFO,,0
10955,PSYC368,MWF,0900,0950,201710,MCK,42,15
11315,NURS351,,0000,0001,201710,,,0
11316,NURS352,,0000,0001,201710,,,0
11320,NURS453,M,0900,1050,201710,,,50
10215,THEA226,TR,1500,1700,201710,WPA,169,14
11319,NURS250,,0000,0001,201710,,,0
10027,MPEI304,T,1545,1700,201710,WPA,157,60
11360,ENGR340,,,,201710,,,1
11115,ENVR320,TR,1500,1650,201710,ADM,127,15
11336,CMUS4M2,,,,201710,,,1
10689,COMM211,TR,0800,0920,201710,SHB,208,20
11305,COMM211,MWF,0800,0950,201710,SHB,,18
10251,JMC201,W,1200,1250,201710,DMC,302,15
10184,SOCI416,TR,1200,1320,201710,MBB,315,25
10962,PSYC401,W,1200,1250,201710,MCK,135,15
11348,GERO495,,0000,0001,201710,,,12
10710,EACH466,MWF,1000,1050,201710,EDB,124,20
10639,OCCT661,M,0900,1100,201710,B08,,26
11554,FLEN039,MTWRF,1000,1050,201710,ADM,319,20
10647,CHEM131,R,1330,1720,201710,OSC,117,29
11435,EDUC691,,0000,0001,201710,,,0
10473,ENGL003,MWF,1200,1250,201710,ADM,327,18
10097,MPIM421,F,1400,1450,201710,WPA,246,5
10102,MPIM421,F,1400,1450,201710,WPA,150,5
10650,CHEM133,TR,0930,1050,201710,OSC,157,38
10507,ENGL111,MWF,0800,0850,201710,ADM,318,25
11158,BCOR310,TR,0930,1050,201710,BSB,114,60
11161,BCOR310,TR,1500,1620,201710,BSB,115,60
10036,MPEI402,,0000,0001,201710,WPA,157,15
11033,BIOL114,M,1600,1750,201710,OSC,415,24
11037,BIOL114,T,1800,1950,201710,OSC,427,24
10982,HON402,,0900,1700,201710,SHB,215,15
10341,MATH361,MWF,1000,1050,201710,OSC,241,22
11549,FLEN023,MTWRF,1400,1450,201710,ADM,319,20
11551,FLEN027,MTWRF,0900,0950,201710,DMC,201,20
10234,HIST131,MWF,1000,1050,201710,ADM,321,30
11422,MFTO602,MTWRF,,,201710,,,8
10290,BIBM602,M,0000,0001,201710,,,30
10047,MPEI416,,0000,0001,201710,WPA,246,5
10049,MPEI417,,0000,0001,201710,WPA,157,5
10948,BIBL610,,0000,0001,201710,,,15
11304,ENGL262,TR,1200,1450,201710,ADM,316,24
10618,DSGN211,TR,0800,1050,201710,DMC,209,15
11329,BIOL345,MWF,1300,1350,201710,ADM,120,8
11189,PHYS111,F,1400,1550,201710,LIB,231,30
11355,JMC261,TR,1500,1550,201710,DMC,110,9
10405,BIBM413,MWF,1000,1050,201710,BSB,117,60
10168,MUPN411,,0000,0001,201710,WPA,218,10
10557,ENGL496,TR,0930,1050,201710,ADM,120,25
10273,BIBM701,M,0800,1700,201710,BSB,250,20
10606,ART351,MWF,1300,1450,201710,DMC,224,20
